drone_id,package_weight,package_length,package_width,package_height,package_destination_city,package_destination_country,package_origin_country,package_delivery_date,package_value,package_insurance,drone_cost,drone_manufacture,drone_model
1,164.87,86.23,9.46,19.57,Ferbane,Ireland,Ireland,2/23/2012,Euro,FALSE,1713,3DR,DJI Inspire 2
2,12.34,28.14,49.63,95.75,Clifden,Ireland,Ireland,6/21/2021,Euro,TRUE,6222,Potensic,DJI Phantom 4
3,298.71,20.93,82.01,95.66,Valleymount,Ireland,Ireland,12-09-2019,Euro,TRUE,432,3DR,Yuneec Typhoon H Pro
4,400.27,79.38,17.88,14.91,Ballinroad,Ireland,Ireland,6/19/2022,Euro,TRUE,6020,3DR,DJI Phantom 4
5,366.58,30.69,82.71,75.06,Enniskerry,Ireland,Ireland,3/28/2018,Euro,FALSE,3937,Hubsan,DJI Inspire 2
6,498.43,77.26,25.04,62.35,Greystones,Ireland,Ireland,3/14/2012,Euro,FALSE,4137,3DR,Parrot Bebop 2
7,412.6,15.41,62.78,38.85,Raphoe,Ireland,Ireland,01-05-2013,Euro,TRUE,4430,Holy Stone,DJI Phantom 4
8,482.47,51.05,73.22,59.62,Lusk,Ireland,Ireland,5/21/2013,Euro,FALSE,1063,JJRC,Parrot Bebop 2
9,461.33,4.8,37.67,66.84,Booterstown,Ireland,Ireland,2/25/2019,Euro,FALSE,5900,Potensic,Parrot Bebop 2
10,74.01,89.22,12.24,52.72,Dundrum,Ireland,Ireland,4/28/2022,Euro,TRUE,7829,DJI,DJI Mavic Pro
11,71.92,24.57,29.51,24.83,Confey,Ireland,Ireland,7/13/2016,Euro,TRUE,277,Potensic,DJI Mavic Pro
12,262.14,67.92,93.72,74.31,Farranacoush,Ireland,Ireland,08-06-2012,Euro,FALSE,3277,Parrot,Yuneec Typhoon H Pro
13,155.97,21.67,37.42,79.19,Loughrea,Ireland,Ireland,03-10-2014,Euro,TRUE,7269,Yuneec,DJI Phantom 4
14,296.84,69.15,40.17,44.54,Annacotty,Ireland,Ireland,11/26/2022,Euro,TRUE,720,DJI,DJI Phantom 4
15,275.29,49.96,82.21,38.68,Tuam,Ireland,Ireland,04-02-2019,Euro,TRUE,268,Potensic,DJI Phantom 4
16,126.7,64.27,15.57,73.49,Moville,Ireland,Ireland,1/23/2015,Euro,FALSE,9563,Parrot,DJI Mavic Pro
17,259.41,17.8,67.68,48.09,Kildare,Ireland,Ireland,06-05-2016,Euro,TRUE,3637,Potensic,DJI Phantom 4
18,237.98,4.26,28.63,71.25,Cill Airne,Ireland,Ireland,05-03-2022,Euro,FALSE,5303,3DR,Yuneec Typhoon H Pro
19,370.96,66.57,73.13,63.15,Dunlewy,Ireland,Ireland,02-01-2014,Euro,FALSE,8570,UDI,DJI Inspire 2
20,42.15,24.96,78.02,64.99,Ballyjamesduff,Ireland,Ireland,6/19/2017,Euro,TRUE,9924,JJRC,DJI Phantom 4
21,467.92,22.14,26.72,63.54,Kilmacanoge,Ireland,Ireland,2/24/2020,Euro,TRUE,9725,Potensic,Yuneec Typhoon H Pro
22,35.47,16.88,5.73,70.74,Mullagh,Ireland,Ireland,8/26/2013,Euro,FALSE,1665,Autel Robotics,Parrot Bebop 2
23,135.41,51,90.29,47.22,Aghada,Ireland,Ireland,06-11-2019,Euro,TRUE,4120,Hubsan,DJI Phantom 4
24,448.06,10.76,48.43,43.93,Granard,Ireland,Ireland,7/16/2021,Euro,TRUE,573,UDI,Yuneec Typhoon H Pro
25,335.75,58.98,52.31,76.34,Sallins,Ireland,Ireland,12-11-2020,Euro,FALSE,1727,UDI,DJI Phantom 4
26,388.72,32.91,83.57,39.91,Fairview,Ireland,Ireland,2/13/2019,Euro,TRUE,1513,Holy Stone,Parrot Bebop 2
27,404.27,83.47,53.51,85.93,Naas,Ireland,Ireland,4/25/2022,Euro,TRUE,4919,JJRC,DJI Phantom 4
28,31.64,68.59,28.97,99.89,Aughrim,Ireland,Ireland,4/20/2012,Euro,TRUE,2453,Syma,Yuneec Typhoon H Pro
29,332.12,86.16,23.94,13.7,Oughterard,Ireland,Ireland,1/19/2013,Euro,TRUE,2137,JJRC,DJI Phantom 4
30,281.26,18.74,32.4,6.23,Killorglin,Ireland,Ireland,10/15/2014,Euro,FALSE,7577,Hubsan,DJI Mavic Pro
31,156.35,1.32,61.33,27.02,Greystones,Ireland,Ireland,6/26/2018,Euro,TRUE,5575,Holy Stone,DJI Mavic Pro
32,274.31,91.7,69.48,81.35,Rathangan,Ireland,Ireland,08-08-2020,Euro,FALSE,4309,Autel Robotics,Yuneec Typhoon H Pro
33,386.79,10.75,75.06,64.82,Cavan,Ireland,Ireland,3/19/2015,Euro,TRUE,6477,3DR,Parrot Bebop 2
34,197.52,83.44,78.45,28.38,Manorhamilton,Ireland,Ireland,4/26/2017,Euro,FALSE,7638,Parrot,Parrot Bebop 2
35,272.34,77.67,78.71,65.49,Ashbourne,Ireland,Ireland,11-05-2017,Euro,FALSE,6521,Autel Robotics,DJI Phantom 4
36,122.12,86.55,18.98,2.41,Shankill,Ireland,Ireland,12/13/2020,Euro,TRUE,8274,Parrot,DJI Phantom 4
37,482.69,27.77,53.39,28.98,Ballisodare,Ireland,Ireland,9/15/2022,Euro,TRUE,8802,3DR,Parrot Bebop 2
38,134.33,60.99,59.9,88.14,Monkstown,Ireland,Ireland,1/16/2018,Euro,FALSE,7137,3DR,Yuneec Typhoon H Pro
